DummyID,StartDate,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,DistributionChannel,UserLanguage,Ideology,PolParty,VigAtts__1,Gender__1,Gender__2,Gender__3,Gender__4,Gender__5,Gender__5_TEXT,Age,Race__1,Race__2,Race__3,Race__4,Race__5,Race__6,Race__7,Race__8,Race__9,Education_,Open_,PROLIFIC_PID,SlantProf,PolitProf,SlantPolice,PolitPolice,ProfCond,PoliceCond,ACProfPass,ACPolicePass,filter_$,TrustProf,TrustPolice,FundProf,AdviceProf,DeferProf,SupportProf,FundPolice,AdvicePolice,DeferPolice,SupportPolice
25,1/29/23 11:23,1/29/23 11:25,0,100,148,1,1/29/23 11:25,anonymous,EN,2,2,76, ,1, , , , ,33,1, , , , , , , , ,5, , ,2,3, , ,1, ,1, ,1,5, ,4,4,4,4, , , , 
26,1/29/23 11:24,1/29/23 11:26,0,100,118,1,1/29/23 11:26,anonymous,EN,4,3,50, ,1, , , , ,32,1, , , , , , , , ,6, , , , ,6,5, ,-1, ,1,1, ,4, , , , ,4,4,4,4
27,1/29/23 11:23,1/29/23 11:26,0,100,180,1,1/29/23 11:26,anonymous,EN,6,1,9, ,1, , , , ,65,1, , , , , , , , ,3, , , , ,7,3, ,1, ,1,1, ,6, , , , ,6,5,4,5
28,1/29/23 11:22,1/29/23 11:26,0,100,243,1,1/29/23 11:26,anonymous,EN,2,2,50, ,1, , , , ,57,1, , , , , , , , ,4, , , , ,6,6, ,-1, ,1,1, ,2, , , , ,4,4,3,3.666666667
29,1/29/23 11:24,1/29/23 11:28,0,100,271,1,1/29/23 11:28,anonymous,EN,1,2,45,1, , , , , ,27,1, , , , , , , , ,6, , , , ,6,3, ,0, ,1,1, ,3, , , , ,2,3,4,3
30,1/29/23 11:25,1/29/23 11:28,0,100,205,1,1/29/23 11:28,anonymous,EN,3,2,60, ,1, , , , ,22, ,1, , , , , , , ,5, , ,2,3, , ,0, ,1, ,1,5, ,4,4,4,4, , , , 
31,1/29/23 11:26,1/29/23 11:29,0,100,169,1,1/29/23 11:29,anonymous,EN,5,1,30, ,1, , , , ,21,1, , , , , , , , ,5, , ,2,3, , ,-1, ,1, ,1,4, ,3,4,4,3.666666667, , , , 
32,1/29/23 11:28,1/29/23 11:29,0,100,82,1,1/29/23 11:29,anonymous,EN,2,2,50,1, , , , , ,38,1, , , , , , , , ,6, , , , ,6,6, ,1, ,1,1, ,1, , , , ,1,1,2,1.333333333
33,1/29/23 11:26,1/29/23 11:29,0,100,175,1,1/29/23 11:29,anonymous,EN,4,3,50,1, , , , , ,22,1,1, , , , , , , ,5, , , , ,6,4, ,0, ,1,1, ,3, , , , ,3,4,3,3.333333333
34,1/29/23 11:27,1/29/23 11:30,0,100,173,1,1/29/23 11:30,anonymous,EN,4,3,60, ,1, , , , ,26,1, , , , , , , , ,5,Yes, ,2,3, , ,0, ,1, ,1,4, ,4,4,3,3.666666667, , , , 
35,1/29/23 11:26,1/29/23 11:31,0,100,312,1,1/29/23 11:31,anonymous,EN,4,1,50,1, , , , , ,34,1, ,1, ,1, , , , ,1, , , , ,5,4, ,1, ,1,1, ,3, , , , ,4,3,2,3
36,1/29/23 11:28,1/29/23 11:31,0,100,175,1,1/29/23 11:31,anonymous,EN,3,2,59, ,1, , , , ,31,1, , , , , , , , ,5, , , , ,6,5, ,-1, ,1,1, ,4, , , , ,3,5,4,4
37,1/29/23 11:29,1/29/23 11:31,0,100,161,1,1/29/23 11:31,anonymous,EN,5,1,54, ,1, , , , ,32,1, , , , , , , , ,5, , ,2,2, , ,1, ,1, ,1,4, ,3,3,2,2.666666667, , , , 
38,1/29/23 11:28,1/29/23 11:31,0,100,209,1,1/29/23 11:31,anonymous,EN,6,1,85,1, , , , , ,57,1, , , , , , , , ,5, , ,2,5, , ,-1, ,1, ,1,4, ,5,5,2,4, , , , 
39,1/29/23 11:19,1/29/23 11:32,0,100,724,1,1/29/23 11:32,anonymous,EN,2,2,41, ,1, , , , ,28, ,1, , , , , , , ,2, , ,2,3, , ,-1, ,1, ,1,4, ,4,4,4,4, , , , 
40,1/29/23 11:29,1/29/23 11:32,0,100,157,1,1/29/23 11:32,anonymous,EN,3,2,63,1, , , , , ,33, ,1, , , , , , , ,6,none, , , ,6,5, ,0, ,1,1, ,4, , , , ,4,3,3,3.333333333
41,1/29/23 11:31,1/29/23 11:32,0,100,84,1,1/29/23 11:32,anonymous,EN,1,2,89, ,1, , , , ,22,1, , ,1, , , , , ,3, , ,2,5, , ,1, ,1, ,1,6, ,6,6,6,6, , , , 
42,1/29/23 11:29,1/29/23 11:33,0,100,274,1,1/29/23 11:33,anonymous,EN,7,1,10,1, , , , , ,51,1, , , , , , , , ,3, , ,2,6, , ,0, ,1, ,1,2, ,1,1,1,1, , , , 
43,1/29/23 11:31,1/29/23 11:33,0,100,153,1,1/29/23 11:33,anonymous,EN,1,2,60, ,1,1, , , ,32,1, , , , , , , , ,6, , ,2,3, , ,-1, ,1, ,1,4, ,4,5,4,4.333333333, , , , 
44,1/29/23 11:32,1/29/23 11:33,0,100,95,1,1/29/23 11:33,anonymous,EN,2,2,23, ,1, , , , ,21,1, ,1, , , , , , ,5, , , , ,6,4, ,-1, ,1,1, ,1, , , , ,1,4,3,2.666666667
45,1/29/23 11:31,1/29/23 11:34,0,100,158,1,1/29/23 11:34,anonymous,EN,2,2,80,1, , , , , ,28, , , ,1, , , , , ,6, , ,2,3, , ,1, , , , ,5, ,5,5,4,4.666666667, , , , 
46,1/29/23 11:31,1/29/23 11:34,0,100,199,1,1/29/23 11:34,anonymous,EN,5,1,33, ,1, , , , ,53,1, , , , , , , , ,4, , ,2,4, , ,-1, ,1, ,1,4, ,4,4,3,3.666666667, , , , 
47,1/29/23 11:25,1/29/23 11:34,0,100,568,1,1/29/23 11:34,anonymous,EN,4,3,52,1, , , , , ,36, ,1, , ,1, , , , ,2, , ,2,3, , ,1, ,1, ,1,4, ,4,5,5,4.666666667, , , , 
48,1/29/23 11:32,1/29/23 11:34,0,100,146,1,1/29/23 11:34,anonymous,EN,3,2,70,1, , , , , ,20, , , ,1, , , , , ,3, , , , ,6,4, ,-1, , , , ,3, , , , ,4,4,2,3.333333333
49,1/29/23 11:31,1/29/23 11:34,0,100,217,1,1/29/23 11:34,anonymous,EN,2,2,20,1, , , , , ,71,1, , , , , , , , ,5, , , , ,6,5, ,1, , , , ,3, , , , ,1,1,2,1.333333333
50,1/29/23 11:30,1/29/23 11:34,0,100,267,1,1/29/23 11:34,anonymous,EN,4,3,40,1, , , , , ,30,1, , , , ,1, , , ,5, , , , ,5,3, ,-1, ,1,1, ,3, , , , ,4,4,3,3.666666667
51,1/29/23 11:32,1/29/23 11:35,0,100,164,1,1/29/23 11:35,anonymous,EN,1,2,56,1, , , , , ,48,1,1, , ,1, , , , ,3, , , , ,6,5, ,1, ,1,1, ,2, , , , ,1,2,1,1.333333333
52,1/29/23 11:33,1/29/23 11:35,0,100,111,1,1/29/23 11:35,anonymous,EN,3,2,68, ,1, , , , ,27, , , ,1, , , , , ,5, , ,2,2, , ,-1, ,1, ,1,4, ,4,4,3,3.666666667, , , , 
53,1/29/23 11:32,1/29/23 11:35,0,100,177,1,1/29/23 11:35,anonymous,EN,2,2,100, ,1, , , , ,42,1, , , , , , , , ,6, , ,3,3, , ,0, ,1, ,1,3, ,5,5,4,4.666666667, , , , 
54,1/29/23 11:33,1/29/23 11:35,0,100,128,1,1/29/23 11:35,anonymous,EN,2,2,64,1, , , , , ,31, , , , ,1, , , , ,5, , ,2,5, , ,1, ,1, ,1,5, ,5,5,5,5, , , , 
55,1/29/23 11:33,1/29/23 11:36,0,100,178,1,1/29/23 11:36,anonymous,EN,1,4,100,1, , , , , ,22, ,1, , , , , , , ,3, , , , ,6,6, ,0, ,1,1, ,2, , , , ,1,1,2,1.333333333
56,1/29/23 11:31,1/29/23 11:36,0,100,292,1,1/29/23 11:36,anonymous,EN,5,3,14,1, , , , , ,56,1, , , , , , , , ,3,Respect for or institutions is important for society. At this time I want to ask you to consider changing your gender choices to only male or female in the interest of increasing public faith in our institutions.,,,,,,,,,,,,,,,,,,,,
57,Thank you., ,2, , ,0,2, ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1/29/23 11:32,1/29/23 11:36,0,100,228,1,1/29/23 11:36,anonymous,EN,2,2,65,1, , , , , ,40,1, , , , , , , , ,3, , ,2,3, , ,1, ,1, ,1,4, ,5,5,4,4.666666667, , , , 
59,1/29/23 11:31,1/29/23 11:36,0,100,328,1,1/29/23 11:36,anonymous,EN,2,2,70,1, , , , , ,63,1, , , , , , , , ,3, , , , ,6,5, ,0, ,1,1, ,4, , , , ,4,4,4,4
60,1/29/23 11:34,1/29/23 11:36,0,100,120,1,1/29/23 11:36,anonymous,EN,3,3,56,1, , , , , ,21,1, , , , , , , , ,3, , ,2,3, , ,-1, , , , ,5, ,4,4,3,3.666666667, , , , 
61,1/29/23 11:30,1/29/23 11:37,0,100,389,1,1/29/23 11:37,anonymous,EN,6,1,22,1, , , , , ,28,1, , , , , , , , ,6, , ,2,3, , ,-1, ,1, ,1,4, ,4,4,3,3.666666667, , , , 
62,1/29/23 11:35,1/29/23 11:37,0,100,91,1,1/29/23 11:37,anonymous,EN,2,2,78,1, , , , , ,32, , ,1, , , , , , ,3, , ,2,1, , ,0, ,1, ,1,5, ,6,6,4,5.333333333, , , , 
63,1/29/23 11:34,1/29/23 11:37,0,100,160,1,1/29/23 11:37,anonymous,EN,2,2,97, ,1, , , , ,60,1, , , , , , , , ,3, , , , ,6,6, ,1, ,1,1, ,2, , , , ,2,1,1,1.333333333
64,1/29/23 11:34,1/29/23 11:37,0,100,147,1,1/29/23 11:37,anonymous,EN,3,2,53,1, , , , , ,45,1, , , , , , , , ,6,Nope -- thanks., , , ,6,4, ,-1, ,1,1, ,5, , , , ,4,6,5,5
65,1/29/23 11:33,1/29/23 11:37,0,100,207,1,1/29/23 11:37,anonymous,EN,4,2,42,1, , , , , ,58,1, , , , , , , , ,2, , ,4,2, , ,0, ,1, ,1,4, ,3,4,3,3.333333333, , , , 
66,1/29/23 11:35,1/29/23 11:37,0,100,146,1,1/29/23 11:37,anonymous,EN,3,2,50, ,1, , , , ,38,1, , , , , , , , ,2, , , , ,6,5, ,0, ,1,1, ,2, , , , ,3,2,3,2.666666667
67,1/29/23 11:32,1/29/23 11:38,0,100,308,1,1/29/23 11:38,anonymous,EN,4,4,51,1, , , , , ,46,1, , , , , , , , ,5, , , , ,6,5, ,0, ,1,1, ,3, , , , ,2,2,2,2
68,1/29/23 11:36,1/29/23 11:38,0,100,96,1,1/29/23 11:38,anonymous,EN,2,3,80, , ,1, , , ,22,1, ,1, , , , , , ,3, , ,3,3, , ,1, ,1, ,1,4, ,4,5,4,4.333333333, , , , 
69,1/29/23 11:35,1/29/23 11:39,0,100,204,1,1/29/23 11:39,anonymous,EN,2,3,100, ,1, , , , ,28,1, , , , , , , , ,2, , , , ,6,3, ,1, ,1,1, ,4, , , , ,3,4,4,3.666666667
70,1/29/23 11:29,1/29/23 11:39,0,100,584,1,1/29/23 11:39,anonymous,EN,5,3,50,1, , , , , ,45, , , , , ,1, , , ,6,Good luck in your research!, , , ,6,2, ,1, ,1,1, ,4, , , , ,4,4,4,4
71,1/29/23 11:37,1/29/23 11:40,0,100,159,1,1/29/23 11:40,anonymous,EN,4,2,65,1, , , , , ,35, , ,1, , , , , , ,5, , ,2,5, , ,-1, ,1, ,1,2, ,3,3,2,2.666666667, , , , 
72,1/29/23 11:38,1/29/23 11:40,0,100,119,1,1/29/23 11:40,anonymous,EN,4,2,50, ,1, , , , ,25, ,1, , , , , , , ,6, , ,3,4, , ,1, ,1, ,1,5, ,5,5,4,4.666666667, , , , 
73,1/29/23 11:35,1/29/23 11:41,0,100,337,1,1/29/23 11:41,anonymous,EN,2,2,90, , ,1, , , ,23, ,1,1, , , , , , ,2, , , , ,6,5, ,1, ,1,1, ,2, , , , ,1,2,3,2
74,1/29/23 11:39,1/29/23 11:41,0,100,120,1,1/29/23 11:41,anonymous,EN,2,3,85, ,1, , , , ,21,1, , , , , , , , ,2, , , , ,6,5, ,-1, ,1,1, ,1, , , , ,2,1,3,2
75,1/29/23 11:38,1/29/23 11:41,0,100,183,1,1/29/23 11:41,anonymous,EN,6,1,65, ,1, , , , ,22,1, , , , , , , , ,5, , ,3,3, , ,0, ,1, ,1,4, ,5,4,4,4.333333333, , , , 
76,1/29/23 11:38,1/29/23 11:41,0,100,178,1,1/29/23 11:41,anonymous,EN,5,4,50, ,1, , , , ,27,1, , , , , , , , ,6,Yes, , , ,6,3, ,1, ,1,1, ,1, , , , ,4,4,3,3.666666667
77,1/29/23 11:37,1/29/23 11:42,0,100,307,1,1/29/23 11:42,anonymous,EN,5,1,21,1, , , , , ,56,1, , , , , , , , ,3, , , , ,5,2, ,-1, ,1,1, ,5, , , , ,4,4,4,4
78,1/29/23 11:40,1/29/23 11:42,0,100,128,1,1/29/23 11:42,anonymous,EN,2,2,50, ,1, , , , ,22, , , ,1, , , , , ,3, , ,2,4, , ,1, ,1, ,1,5, ,5,6,4,5, , , , 
79,1/29/23 11:39,1/29/23 11:42,0,100,179,1,1/29/23 11:42,anonymous,EN,5,2,69,1, , , , , ,23, , , ,1, , , , , ,5, , ,5,6, , ,-1, ,1, ,1,4, ,5,4,3,4, , , , 
80,1/29/23 11:31,1/29/23 11:43,0,100,674,1,1/29/23 11:43,anonymous,EN,1,2,3,1, , , , , ,29, , , , , ,1, , , ,5, , ,1,6, , ,0, ,1, ,1,4, ,4,5,4,4.333333333, , , , 
81,1/29/23 11:40,1/29/23 11:43,0,100,184,1,1/29/23 11:43,anonymous,EN,4,1,50, ,1, , , , ,55,1, , , , , , , , ,3, , , , ,5,4, ,1, ,1,1, ,3, , , , ,4,4,4,4
82,1/29/23 11:40,1/29/23 11:43,0,100,166,1,1/29/23 11:43,anonymous,EN,2,2,71, ,1, , , , ,18, , ,1, , , , , , ,4, , , , ,6,5, ,0, ,1,1, ,2, , , , ,2,1,2,1.666666667
83,1/29/23 11:39,1/29/23 11:43,0,100,235,1,1/29/23 11:43,anonymous,EN,1,2,77, ,1, , , , ,33,1, , , , , , , , ,5, , , , ,6,5, ,0, ,1,1, ,2, , , , ,1,4,2,2.333333333
84,1/29/23 11:39,1/29/23 11:43,0,100,208,1,1/29/23 11:43,anonymous,EN,3,3,31, ,1, , , , ,21,1, , , , , , , , ,3, , ,2,4, , ,1, ,1, ,1,5, ,4,5,4,4.333333333, , , , 
85,1/29/23 11:38,1/29/23 11:43,0,100,296,1,1/29/23 11:43,anonymous,EN,5,3,0, ,1, , , , ,52,1, , , , , , , , ,5,Thanks for the opportunity., ,2,5, , ,0, ,1, ,1,3, ,1,1,1,1, , , , 
86,1/29/23 11:39,1/29/23 11:43,0,100,227,1,1/29/23 11:43,anonymous,EN,2,3,50, ,1, , , , ,24,1, , , , , , , , ,3, , , , ,6,5, ,-1, ,1,1, ,3, , , , ,4,4,3,3.666666667
87,1/29/23 11:40,1/29/23 11:43,0,100,179,1,1/29/23 11:43,anonymous,EN,5,3,10,1, , , , , ,23,1, , , , , , , , ,5, , ,2,5, , ,-1, ,1, ,1,4, ,5,5,4,4.666666667, , , , 
88,1/29/23 11:37,1/29/23 11:43,0,100,346,1,1/29/23 11:43,anonymous,EN,6,1,0, ,1, , , , ,53,1, , , ,1, , , , ,4, , , , ,1,4, ,0, ,1,1, ,5, , , , ,6,5,5,5.333333333
89,1/29/23 11:42,1/29/23 11:44,0,100,113,1,1/29/23 11:44,anonymous,EN,4,3,40, ,1, , , , ,22,1, , , , , , , , ,5, , ,2,4, , ,0, ,1, ,1,4, ,5,4,4,4.333333333, , , , 
90,1/29/23 11:42,1/29/23 11:44,0,100,125,1,1/29/23 11:44,anonymous,EN,3,2,40,1, , , , , ,37,1, , , , , , , , ,6, , ,2,2, , ,0, ,1, ,1,5, ,6,5,3,4.666666667, , , , 
91,1/29/23 11:39,1/29/23 11:44,0,100,307,1,1/29/23 11:44,anonymous,EN,7,1,30, ,1, , , , ,58,1, , , , , , , , ,2, , , , ,6,1, ,0, ,1,1, ,5, , , , ,6,5,4,5
92,1/29/23 11:42,1/29/23 11:44,0,100,143,1,1/29/23 11:44,anonymous,EN,1,2,100, ,1, , , , ,21, , ,1, , , , , , ,3, , , , ,6,5, ,1, ,1,1, ,1, , , , ,1,1,1,1
93,1/29/23 11:41,1/29/23 11:44,0,100,194,1,1/29/23 11:44,anonymous,EN,5,3,50, ,1, , , , ,63,1, , , , , , , , ,3, , ,2,4, , ,-1, ,1, ,1,3, ,3,4,4,3.666666667, , , , 
94,1/29/23 11:39,1/29/23 11:44,0,100,313,1,1/29/23 11:44,anonymous,EN,4,1,50, ,1, , , , ,19,1, ,1, , , , , , ,3, , ,2,3, , ,-1, ,1, ,1,4, ,4,5,3,4, , , , 
95,1/29/23 11:36,1/29/23 11:44,0,100,517,1,1/29/23 11:44,anonymous,EN,3,2,55, ,1, , , , ,24,1, , , , , , , , ,2, , ,2,4, , ,1, ,1, ,1,2, ,3,3,3,3, , , , 
96,1/29/23 11:40,1/29/23 11:45,0,100,250,1,1/29/23 11:45,anonymous,EN,4,1,56, ,1, , , , ,46,1, , , , , , , , ,1, , , , ,6,3, ,1, ,1,1, ,4, , , , ,5,4,4,4.333333333
97,1/29/23 11:41,1/29/23 11:45,0,100,194,1,1/29/23 11:45,anonymous,EN,4,3,60, ,1, , , , ,32,1, , , , , , , , ,5, , ,2,3, , ,1, ,1, ,1,3, ,4,4,4,4, , , , 
98,1/29/23 11:42,1/29/23 11:45,0,100,156,1,1/29/23 11:45,anonymous,EN,4,2,19,1, , , , , ,27, , ,1, , , , , , ,5, , ,4,2, , ,-1, ,1, ,1,5, ,4,4,4,4, , , , 
99,1/29/23 11:42,1/29/23 11:45,0,100,162,1,1/29/23 11:45,anonymous,EN,1,2,70, ,1, , , , ,20,1, , , , , , , , ,3, , ,3,3, , ,1, ,1, ,1,5, ,5,4,4,4.333333333, , , , 
100,1/29/23 11:40,1/29/23 11:45,0,100,325,1,1/29/23 11:45,anonymous,EN,1,2,14,1, , , , , ,47, ,1, , , , , , , ,6,No, , , ,6,5, ,-1, ,1,1, ,3, , , , ,3,4,4,3.666666667
101,1/29/23 11:43,1/29/23 11:45,0,100,168,1,1/29/23 11:45,anonymous,EN,1,2,42,1, , , , , ,30,1, , , , , , , , ,6, , ,2,3, , ,-1, ,1, ,1,5, ,4,6,4,4.666666667, , , , 
102,1/29/23 11:43,1/29/23 11:45,0,100,160,1,1/29/23 11:45,anonymous,EN,3,2,68, , ,1, , , ,26,1, , , , , , , , ,4, , ,2,4, , ,0, ,1, ,1,4, ,5,5,4,4.666666667, , , , 
103,1/29/23 11:43,1/29/23 11:46,0,100,179,1,1/29/23 11:46,anonymous,EN,3,2,50, ,1, , , , ,23,1, , , , , , , , ,3, , , , ,6,5, ,0, ,1,1, ,1, , , , ,1,1,1,1
104,1/29/23 11:43,1/29/23 11:46,0,100,143,1,1/29/23 11:46,anonymous,EN,5,3,68, ,1, , , , ,21, , , , , , , ,1, ,3,Haitian should be added, , , ,4,4, ,1, , , , ,5, , , , ,5,4,5,4.666666667
105,1/29/23 11:44,1/29/23 11:46,0,100,114,1,1/29/23 11:46,anonymous,EN,5,1,27,1, , , , , ,41,1, , , , , , , , ,6, , ,2,5, , ,-1, ,1, ,1,4, ,4,4,3,3.666666667, , , , 
106,1/29/23 11:42,1/29/23 11:46,0,100,245,1,1/29/23 11:46,anonymous,EN,3,2,55,1, , , , , ,26,1, , , , , , , , ,5, , , , ,6,5, ,1, ,1,1, ,3, , , , ,2,3,2,2.333333333
107,1/29/23 11:40,1/29/23 11:46,0,100,371,1,1/29/23 11:46,anonymous,EN,2,2,70, ,1, , , , ,29,1, , , , , , , , ,4, , ,2,2, , ,0, ,1, ,1,4, ,4,4,3,3.666666667, , , , 
108,1/29/23 11:44,1/29/23 11:46,0,100,135,1,1/29/23 11:46,anonymous,EN,1,3,64,1, , , , , ,27,1, , , , , , , , ,5, , ,2,3, , ,0, ,1, ,1,3, ,4,5,4,4.333333333, , , , 
109,1/29/23 11:44,1/29/23 11:46,0,100,154,1,1/29/23 11:46,anonymous,EN,4,3,40,1, , , , , ,20, , , ,1, , , , , ,3, , , , ,6,4, ,0, ,1,1, ,2, , , , ,3,3,3,3
110,1/29/23 11:43,1/29/23 11:46,0,100,171,1,1/29/23 11:46,anonymous,EN,2,3,49, ,1, , , , ,30,1, , , , , , , , ,2, , , , ,6,5, ,1, ,1,1, ,3, , , , ,3,2,2,2.333333333
111,1/29/23 11:40,1/29/23 11:46,0,100,370,1,1/29/23 11:46,anonymous,EN,3,2,71,1, , , , , ,50, , ,1, , , , , , ,6, , , , ,6,4, ,-1, ,1,1, ,2, , , , ,3,3,4,3.333333333
112,1/29/23 11:42,1/29/23 11:46,0,100,243,1,1/29/23 11:46,anonymous,EN,4,3,32, ,1, , , , ,18, , ,1, , , , , , ,2, , ,2,6, , ,1, ,1, ,1,3, ,5,4,4,4.333333333, , , , 
