DummyID,Rang_ControlT_First_Click,Rang_ControlT_Last_Click,Rang_ControlT_Page_Submit,Rang_ControlT_Click_Count,Polit_Rang,Trust_Rang,Fund_Rang,Advice_Rang,Defer_Rang,Range_TrumpT_First_Click,Range_TrumpT_Last_Click,Range_TrumpT_Page_Submit,Range_TrumpT_Click_Count,Polit_Rang.0,Trust_Rang.0,Fund_Rang.0,Advice_Rang.0,Defer_Rang.0,Rang_BidenT_First_Click,Rang_BidenT_Last_Click,Rang_BidenT_Page_Submit,Rang_BidenT_Click_Count,Polit_Rang.1,Trust_Rang.1,Fund_Rang.1,Advice_Rang.1,Defer_Rang.1,PolitAllRang,TrustAllRang,FundAllRang,AdviceAllRang,DeferALlRang,Donate,Ideology,PolParty,Vote,VigAtts__1,Gender__1,Gender__2,Gender__3,Gender__4,Gender__5,Gender__5_TEXT,Age,Race__1,Race__2,Race__3,Race__4,Race__5,Race__6,Race__7,Race__8,Race__9,Education_,Open_,PolitRang,RangContCond,RangBidenCond,RangTrumpCond,RangCond,TrustRang,AdviceRang,DeferRang,FundRang,SupportRang,SupportAllRang,TrumpDummy,BidenDummy,TrumpxIdeo,BidenxIdeo,ZIdeology,Ideo_2,Condition
21,11.594,19.096,20.018,5,1,6,6,6,5,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,1,6,6,6,5,1,1,2,2,65,NA,1,NA,NA,NA,,39,1,NA,NA,NA,NA,NA,NA,NA,NA,5,,1,2,0,0,0,6,6,5,6,5.666666667,5.666666667,0,0,0,0,-1.299294923,-3,Control
22,NA,NA,NA,NA,0,0,0,0,0,1.378,119.281,120.276,75,2,4,4,4,3,NA,NA,NA,NA,0,0,0,0,0,4,4,4,5,4,2,1,2,3,50,NA,1,NA,NA,NA,,38,1,1,NA,NA,1,NA,NA,NA,NA,5,,2,0,0,1,1,4,4,3,4,3.666666667,4.333333333,1,0,-1.299294923,0,-1.299294923,-3,Trump
23,NA,NA,NA,NA,0,0,0,0,0,3.891,59.143,61.079,14,6,4,4,3,3,NA,NA,NA,NA,0,0,0,0,0,4,3,4,3,3,1,7,1,2,100,1,NA,NA,NA,NA,,30,NA,NA,1,NA,NA,NA,NA,NA,NA,6,,6,0,0,1,1,4,3,3,4,3.333333333,3.333333333,1,0,2.22212252,0,2.22212252,3,Trump
24,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,48.158,88.212,89.205,12,4,4,5,4,4,3,5,5,4,4,2,5,1,2,50,1,NA,NA,NA,NA,,49,1,NA,NA,NA,NA,NA,NA,NA,NA,5,,4,0,-1,0,-1,4,4,4,5,4.333333333,4.333333333,0,1,0,1.048316706,1.048316706,1,Biden
25,NA,NA,NA,NA,0,0,0,0,0,3.397,74.458,77.525,39,6,1,1,1,1,NA,NA,NA,NA,0,0,0,0,0,1,6,6,5,4,1,1,2,2,50,1,NA,NA,NA,NA,,40,1,NA,NA,NA,NA,NA,NA,NA,NA,5,,6,0,0,1,1,1,1,1,1,1,5,1,0,-1.299294923,0,-1.299294923,-3,Trump
26,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,14.71,107.937,110.651,9,4,2,4,2,3,1,4,5,4,4,3,5,3,3,15,1,NA,NA,NA,NA,,25,1,NA,NA,NA,NA,NA,NA,NA,NA,2,,4,0,-1,0,-1,2,2,3,4,3,4.333333333,0,1,0,1.048316706,1.048316706,1,Biden
27,11.626,22.768,23.76,7,5,4,4,3,3,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,5,4,4,3,4,2,5,1,1,0,1,NA,NA,NA,NA,,21,NA,1,NA,NA,NA,NA,NA,NA,NA,4,,5,2,0,0,0,4,3,3,4,3.333333333,3.666666667,0,0,0,0,1.048316706,1,Control
28,14.686,107.852,109.501,21,1,6,5,6,6,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,1,6,5,6,2,1,5,3,1,100,NA,1,NA,NA,NA,,24,1,NA,NA,NA,NA,NA,NA,NA,NA,4,,1,2,0,0,0,6,6,6,5,5.666666667,4.333333333,0,0,0,0,1.048316706,1,Control
29,NA,NA,NA,NA,0,0,0,0,0,65.806,80.625,81.528,5,5,2,1,1,2,NA,NA,NA,NA,0,0,0,0,0,2,2,2,1,1,1,4,2,2,53,NA,1,NA,NA,NA,,49,1,1,NA,NA,NA,NA,NA,NA,NA,5,,5,0,0,1,1,2,1,2,1,1.333333333,1.333333333,1,0,0.461413799,0,0.461413799,0,Trump
30,1.48,184.34,185.265,53,3,3,3,3,3,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,3,3,4,5,4,1,4,3,3,50,1,NA,NA,NA,NA,,49,1,NA,NA,NA,NA,NA,NA,NA,NA,6,,3,2,0,0,0,3,3,3,3,3,4.333333333,0,0,0,0,0.461413799,0,Control
31,35.21,87.821,89.247,5,4,4,5,5,3,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,4,4,4,4,3,1,4,2,2,55,NA,1,NA,NA,NA,,52,NA,1,NA,NA,NA,NA,NA,NA,NA,5,thank you,4,2,0,0,0,4,5,3,5,4.333333333,3.666666667,0,0,0,0,0.461413799,0,Control
32,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,11.747,56.356,56.901,28,3,3,4,4,4,2,3,4,4,4,1,4,2,2,69,NA,1,NA,NA,NA,,34,1,NA,NA,NA,NA,NA,NA,NA,NA,3,No,3,0,-1,0,-1,3,4,4,4,4,4,0,1,0,0.461413799,0.461413799,0,Biden
33,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,237.262,288.26,289.307,8,5,5,4,5,4,4,5,4,4,4,2,2,2,2,37,NA,1,NA,NA,NA,,21,NA,1,NA,NA,NA,NA,NA,NA,NA,3,,5,0,-1,0,-1,5,5,4,4,4.333333333,4,0,1,0,-0.712392015,-0.712392015,-2,Biden
34,NA,NA,NA,NA,0,0,0,0,0,116.391,164.75,169.179,7,4,5,5,5,4,NA,NA,NA,NA,0,0,0,0,0,5,6,5,5,4,1,4,2,2,19,NA,1,NA,NA,NA,,53,1,NA,NA,NA,NA,NA,NA,NA,NA,6,,4,0,0,1,1,5,5,4,5,4.666666667,4.666666667,1,0,0.461413799,0,0.461413799,0,Trump
35,36.264,49.166,49.587,6,1,5,5,6,5,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,1,5,5,6,5,3,1,2,2,50,1,NA,NA,NA,NA,,43,1,NA,NA,NA,NA,NA,NA,NA,NA,6,,1,2,0,0,0,5,6,5,5,5.333333333,5.333333333,0,0,0,0,-1.299294923,-3,Control
36,NA,NA,NA,NA,0,0,0,0,0,72.021,186.859,192.199,12,4,2,3,1,2,NA,NA,NA,NA,0,0,0,0,0,4,4,4,4,3,1,3,3,3,80,NA,1,NA,NA,NA,,45,1,NA,NA,NA,NA,NA,NA,NA,NA,5,,4,0,0,1,1,2,1,2,3,2,3.666666667,1,0,-0.125489108,0,-0.125489108,-1,Trump
37,NA,NA,NA,NA,0,0,0,0,0,24.248,123.612,125.712,20,4,1,2,1,2,NA,NA,NA,NA,0,0,0,0,0,1,4,5,5,4,1,1,2,2,91,NA,1,NA,NA,NA,,38,1,NA,NA,NA,NA,NA,NA,NA,NA,4,,4,0,0,1,1,1,1,2,2,1.666666667,4.666666667,1,0,-1.299294923,0,-1.299294923,-3,Trump
38,16.345,48.781,60.27,8,1,5,4,5,5,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,1,5,5,6,6,2,1,2,2,50,NA,1,NA,NA,NA,,30,NA,NA,NA,1,NA,NA,NA,NA,NA,5,,1,2,0,0,0,5,5,5,4,4.666666667,5.666666667,0,0,0,0,-1.299294923,-3,Control
39,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,61.501,80.65,81.633,6,3,3,1,1,3,3,3,1,1,3,3,4,3,2,0,1,NA,NA,NA,NA,,50,1,NA,NA,NA,NA,NA,NA,NA,NA,5,,3,0,-1,0,-1,3,1,3,1,1.666666667,1.666666667,0,1,0,0.461413799,0.461413799,0,Biden
40,8.186,39.073,45.869,11,3,4,4,4,4,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,3,3,4,4,4,2,4,4,1,55,1,NA,NA,NA,NA,,26,1,NA,NA,NA,NA,NA,NA,NA,NA,2,,3,2,0,0,0,4,4,4,4,4,4,0,0,0,0,0.461413799,0,Control
41,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,7.689,50.283,50.956,29,4,5,5,5,4,3,5,5,4,4,2,1,2,2,50,NA,1,NA,NA,NA,,37,1,NA,NA,NA,NA,NA,NA,NA,NA,5,,4,0,-1,0,-1,5,5,4,5,4.666666667,4.333333333,0,1,0,-1.299294923,-1.299294923,-3,Biden
42,NA,NA,NA,NA,0,0,0,0,0,0.839,207.807,208.908,47,4,3,3,5,3,NA,NA,NA,NA,0,0,0,0,0,1,5,5,5,4,1,3,2,3,45,1,NA,NA,NA,NA,,21,1,NA,NA,NA,NA,NA,NA,NA,NA,2,,4,0,0,1,1,3,5,3,3,3.666666667,4.666666667,1,0,-0.125489108,0,-0.125489108,-1,Trump
43,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,50.248,100.589,101.334,6,4,5,5,5,4,3,5,5,5,4,2,3,2,2,50,NA,1,NA,NA,NA,,32,1,NA,NA,NA,NA,NA,NA,NA,NA,6,,4,0,-1,0,-1,5,5,4,5,4.666666667,4.666666667,0,1,0,-0.125489108,-0.125489108,-1,Biden
44,NA,NA,NA,NA,0,0,0,0,0,2.608,84.597,85.897,12,5,2,4,2,3,NA,NA,NA,NA,0,0,0,0,0,3,4,4,5,4,2,3,2,3,66,NA,1,NA,NA,NA,,31,NA,NA,1,NA,NA,NA,NA,NA,NA,3,,5,0,0,1,1,2,2,3,4,3,4.333333333,1,0,-0.125489108,0,-0.125489108,-1,Trump
45,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,10.605,16.436,19.075,5,3,4,3,4,4,3,4,4,3,4,1,7,1,1,28,1,NA,NA,NA,NA,,26,NA,1,NA,NA,NA,NA,NA,NA,NA,6,good study,3,0,-1,0,-1,4,4,4,3,3.666666667,3.666666667,0,1,0,2.22212252,2.22212252,3,Biden
46,30.562,46.316,47.515,5,1,5,5,5,4,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,1,5,5,6,4,2,3,2,2,70,1,NA,NA,NA,NA,,32,1,NA,NA,1,NA,NA,NA,NA,NA,5,,1,2,0,0,0,5,5,4,5,4.666666667,5,0,0,0,0,-0.125489108,-1,Control
47,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,1.483,263.735,264.888,32,4,4,6,1,3,1,5,6,1,3,2,2,4,3,50,1,NA,NA,NA,NA,,60,1,NA,1,NA,NA,NA,NA,NA,NA,4,None.,4,0,-1,0,-1,4,1,3,6,3.333333333,3.333333333,0,1,0,-0.712392015,-0.712392015,-2,Biden
48,NA,NA,NA,NA,0,0,0,0,0,26.486,49.568,52.375,6,4,3,3,4,3,NA,NA,NA,NA,0,0,0,0,0,2,5,4,3,3,1,4,3,3,50,NA,1,NA,NA,NA,,19,NA,NA,NA,NA,NA,NA,NA,NA,1,2,,4,0,0,1,1,3,4,3,3,3.333333333,3.333333333,1,0,0.461413799,0,0.461413799,0,Trump
49,NA,NA,NA,NA,0,0,0,0,0,15.84,139.941,140.998,36,2,2,4,1,3,NA,NA,NA,NA,0,0,0,0,0,2,5,4,2,3,1,2,2,2,85,NA,1,NA,NA,NA,,23,1,1,NA,NA,NA,NA,NA,NA,NA,5,,2,0,0,1,1,2,1,3,4,2.666666667,3,1,0,-0.712392015,0,-0.712392015,-2,Trump
50,27.131,44.431,44.895,7,4,4,4,4,4,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,3,4,4,4,4,1,2,2,2,49,1,NA,NA,NA,NA,,36,1,NA,NA,NA,NA,NA,NA,NA,NA,6,thanks,4,2,0,0,0,4,4,4,4,4,4,0,0,0,0,-0.712392015,-2,Control
51,NA,NA,NA,NA,0,0,0,0,0,2.044,59.524,60.394,25,6,1,1,1,1,NA,NA,NA,NA,0,0,0,0,0,1,4,5,4,4,3,1,3,2,40,NA,1,NA,NA,NA,,47,1,NA,NA,NA,NA,NA,NA,NA,NA,5,,6,0,0,1,1,1,1,1,1,1,4.333333333,1,0,-1.299294923,0,-1.299294923,-3,Trump
52,1.16,88.563,89.658,16,2,5,5,5,4,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,2,5,5,5,4,1,2,2,2,55,1,NA,NA,NA,NA,,37,1,NA,NA,NA,NA,NA,NA,NA,NA,5,None,2,2,0,0,0,5,5,4,5,4.666666667,4.666666667,0,0,0,0,-0.712392015,-2,Control
53,NA,NA,NA,NA,0,0,0,0,0,5.978,42.655,43.591,8,4,1,1,1,2,NA,NA,NA,NA,0,0,0,0,0,4,1,1,1,1,1,1,2,2,50,1,NA,NA,NA,NA,,48,1,NA,NA,NA,NA,NA,NA,NA,NA,2,,4,0,0,1,1,1,1,2,1,1.333333333,1,1,0,-1.299294923,0,-1.299294923,-3,Trump
54,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,27.588,51.698,54.912,8,3,3,4,4,4,1,4,4,4,5,1,3,2,2,50,NA,1,NA,NA,NA,,25,1,NA,NA,NA,NA,NA,NA,NA,NA,2,,3,0,-1,0,-1,3,4,4,4,4,4.333333333,0,1,0,-0.125489108,-0.125489108,-1,Biden
55,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,230.776,629.457,630.852,8,5,5,6,5,5,5,5,6,5,4,2,2,2,2,67,1,NA,NA,NA,NA,,24,NA,1,NA,NA,NA,NA,NA,NA,NA,4,,5,0,-1,0,-1,5,5,5,6,5.333333333,5,0,1,0,-0.712392015,-0.712392015,-2,Biden
56,NA,NA,NA,NA,0,0,0,0,0,31.027,116.44,120.006,21,3,1,1,1,1,NA,NA,NA,NA,0,0,0,0,0,2,3,5,4,4,1,1,2,2,50,NA,1,NA,NA,NA,,48,1,NA,NA,NA,NA,NA,NA,NA,NA,4,Yes they were clear,3,0,0,1,1,1,1,1,1,1,4.333333333,1,0,-1.299294923,0,-1.299294923,-3,Trump
57,48.1,80.619,81.66,7,1,5,5,5,5,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,1,5,5,5,5,2,4,3,3,50,1,NA,NA,NA,NA,,45,NA,NA,1,NA,NA,NA,NA,NA,NA,5,,1,2,0,0,0,5,5,5,5,5,5,0,0,0,0,0.461413799,0,Control
58,21.394,50.692,51.408,6,1,4,4,5,4,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,1,3,5,4,4,2,3,2,3,44,1,NA,NA,NA,NA,,29,NA,NA,NA,1,NA,NA,NA,NA,NA,5,,1,2,0,0,0,4,5,4,4,4.333333333,4.333333333,0,0,0,0,-0.125489108,-1,Control
59,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,84.79,109.222,111.221,6,2,5,4,6,4,2,6,5,5,4,2,1,2,2,55,NA,1,NA,NA,NA,,53,1,NA,NA,NA,NA,NA,NA,NA,NA,6,,2,0,-1,0,-1,5,6,4,4,4.666666667,4.666666667,0,1,0,-1.299294923,-1.299294923,-3,Biden
60,NA,NA,NA,NA,0,0,0,0,0,9.786,82.451,82.63,24,5,1,1,2,2,NA,NA,NA,NA,0,0,0,0,0,3,5,5,6,5,1,2,2,2,30,1,NA,NA,NA,NA,,34,NA,NA,NA,1,NA,NA,NA,NA,NA,6,,5,0,0,1,1,1,2,2,1,1.666666667,5.333333333,1,0,-0.712392015,0,-0.712392015,-2,Trump
61,NA,NA,NA,NA,0,0,0,0,0,58.698,70.219,70.691,7,4,1,1,1,2,NA,NA,NA,NA,0,0,0,0,0,5,4,5,6,5,1,2,2,2,50,NA,1,NA,NA,NA,,26,NA,NA,1,NA,NA,NA,NA,NA,NA,4,,4,0,0,1,1,1,1,2,1,1.333333333,5.333333333,1,0,-0.712392015,0,-0.712392015,-2,Trump
62,28.848,44.519,47.976,6,4,3,5,5,5,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,3,5,5,5,5,2,3,3,2,29,1,NA,NA,NA,NA,,25,1,NA,NA,NA,NA,NA,NA,NA,NA,5,,4,2,0,0,0,3,5,5,5,5,5,0,0,0,0,-0.125489108,-1,Control
63,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,16.665,45.944,46.899,17,3,4,2,3,4,2,4,3,5,5,1,3,2,2,75,1,NA,NA,NA,NA,,29,NA,NA,NA,1,NA,NA,NA,NA,NA,6,,3,0,-1,0,-1,4,3,4,2,3,4.333333333,0,1,0,-0.125489108,-0.125489108,-1,Biden
64,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,48.448,68.659,69.442,6,2,4,4,4,4,2,4,4,4,4,2,3,2,3,0,1,NA,NA,NA,NA,,38,1,NA,NA,NA,NA,NA,NA,NA,NA,6,,2,0,-1,0,-1,4,4,4,4,4,4,0,1,0,-0.125489108,-0.125489108,-1,Biden
65,NA,NA,NA,NA,0,0,0,0,0,25.383,104.126,104.879,7,5,1,1,1,1,NA,NA,NA,NA,0,0,0,0,0,3,4,4,3,3,1,1,2,2,60,1,NA,NA,NA,NA,,26,NA,1,NA,NA,NA,NA,NA,NA,NA,5,,5,0,0,1,1,1,1,1,1,1,3.333333333,1,0,-1.299294923,0,-1.299294923,-3,Trump
66,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,37.207,56.286,57.564,9,4,3,4,3,4,4,4,4,3,4,2,4,3,2,45,1,NA,NA,NA,NA,,30,1,NA,NA,NA,NA,NA,NA,NA,NA,2,,4,0,-1,0,-1,3,3,4,4,3.666666667,3.666666667,0,1,0,0.461413799,0.461413799,0,Biden
67,NA,NA,NA,NA,0,0,0,0,0,50.563,70.56,73.648,6,6,1,1,1,1,NA,NA,NA,NA,0,0,0,0,0,2,5,5,5,5,1,1,2,2,33,NA,1,NA,NA,NA,,32,1,NA,NA,NA,NA,NA,NA,NA,NA,6,,6,0,0,1,1,1,1,1,1,1,5,1,0,-1.299294923,0,-1.299294923,-3,Trump
